,HDWF2
2018-06-06,56.47638888888889
2018-06-07,74.96631944444444
2018-06-08,36.985416666666666
2018-06-09,6.265277777777778
2018-06-10,67.20034722222222
2018-06-11,77.49513888888889
2018-06-12,51.902430555555554
2018-06-13,54.218402777777776
2018-06-14,67.03506944444445
2018-06-15,65.75381944444445
2018-06-16,80.17152777777777
2018-06-17,45.29618055555556
2018-06-18,11.173263888888888
2018-06-19,29.75034722222222
2018-06-20,16.225694444444446
2018-06-21,0.6802083333333333
2018-06-22,11.40763888888889
2018-06-23,2.154513888888889
2018-06-24,26.702083333333334
2018-06-25,36.200694444444444
2018-06-26,30.671180555555555
2018-06-27,2.7430555555555554
2018-06-28,21.424652777777776
2018-06-29,68.28923611111111
2018-06-30,14.198958333333332
2018-07-01,5.01875
2018-07-02,41.134375
2018-07-03,82.3375
2018-07-04,84.75208333333333
2018-07-05,74.809375
2018-07-06,71.38541666666667
2018-07-07,77.78125
2018-07-08,45.99548611111111
2018-07-09,9.39861111111111
2018-07-10,17.189555555555554
2018-07-11,16.592361111111114
2018-07-12,9.112152777777778
2018-07-13,3.8725694444444443
2018-07-14,50.45104166666667
2018-07-15,83.54201388888889
2018-07-16,56.793749999999996
2018-07-17,68.24861111111112
2018-07-18,56.07708333333333
2018-07-19,70.74652777777779
2018-07-20,35.001041666666666
2018-07-21,27.019791666666666
2018-07-22,79.93958333333333
2018-07-23,82.00763888888889
2018-07-24,65.7
2018-07-25,3.195486111111111
2018-07-26,33.330555555555556
2018-07-27,42.15972222222222
2018-07-28,31.00277777777778
2018-07-29,72.171875
2018-07-30,59.35277777777778
2018-07-31,49.668749999999996
2018-08-01,19.636805555555554
2018-08-02,82.20798611111111
2018-08-03,61.89513888888889
2018-08-04,81.0045138888889
2018-08-05,84.31423611111111
2018-08-06,87.93402777777777
2018-08-07,66.02361111111111
2018-08-08,54.50590277777778
2018-08-09,52.54895833333333
2018-08-10,89.84930555555555
2018-08-11,73.48055555555555
2018-08-12,34.59930555555555
2018-08-13,18.019444444444446
2018-08-14,54.213888888888896
2018-08-15,66.36840277777777
2018-08-16,11.799652777777778
2018-08-17,40.42916666666667
2018-08-18,74.2545138888889
2018-08-19,50.43263888888888
2018-08-20,3.0541666666666667
2018-08-21,5.683333333333334
2018-08-22,56.58229166666666
2018-08-23,84.53194444444445
2018-08-24,78.26944444444445
2018-08-25,41.717708333333334
2018-08-26,11.56909722222222
2018-08-27,31.740624999999998
2018-08-28,53.33611111111111
2018-08-29,94.42881944444444
2018-08-30,69.49340277777777
2018-08-31,80.72708333333334
2018-09-01,28.37048611111111
2018-09-02,7.214583333333334
2018-09-03,28.36666666666667
2018-09-04,17.502777777777776
2018-09-05,76.03506944444445
2018-09-06,42.32743055555556
2018-09-07,5.922222222222222
2018-09-08,15.976041666666667
2018-09-09,34.53541666666667
2018-09-10,11.165277777777776
2018-09-11,71.42326388888888
2018-09-12,34.48979513888889
2018-09-13,7.764930555555556
2018-09-14,66.43402777777779
