,BOCORWF1
2018-07-08,90.13086111111112
2018-07-09,66.95920138888889
2018-07-10,2.8846875
2018-07-11,15.52513888888889
2018-07-12,10.777187499999998
2018-07-13,88.60239583333333
2018-07-14,15.89152777777778
2018-07-15,3.4166666666666665
2018-07-16,68.0128125
2018-07-17,90.66760416666666
2018-07-18,66.13711805555555
2018-07-19,104.44989583333334
2018-07-20,97.52197916666667
2018-07-21,42.723819444444445
2018-07-22,4.694618055555556
2018-07-23,64.3965625
2018-07-24,95.65611111111112
2018-07-25,42.78086805555555
2018-07-26,19.231145833333333
2018-07-27,49.71211805555556
2018-07-28,71.81017361111111
2018-07-29,95.00371527777777
2018-07-30,76.17059027777778
2018-07-31,88.9304513888889
2018-08-01,41.12090277777778
2018-08-02,58.25611111111112
2018-08-03,104.28128472222222
