,WATERLWF
2018-06-20,35.69895833333333
2018-06-21,0.525
2018-06-22,10.254513888888889
2018-06-23,6.205902777777777
2018-06-24,7.477777777777778
2018-06-25,25.65347222222222
2018-06-26,19.79513888888889
2018-06-27,2.722222222222222
2018-06-28,17.631944444444446
2018-06-29,109.26597222222222
2018-06-30,49.30138888888889
2018-07-01,10.960069444444445
2018-07-02,26.1478125
2018-07-03,93.359375
2018-07-04,101.55477083333334
2018-07-05,117.2857638888889
2018-07-06,116.48993055555555
2018-07-07,104.48402777777778
2018-07-08,78.39444444444445
2018-07-09,6.347916666666666
2018-07-10,11.241197916666666
2018-07-11,45.99340277777778
2018-07-12,29.819097222222222
2018-07-13,5.461805555555556
2018-07-14,68.77916666666667
2018-07-15,112.34097222222222
2018-07-16,87.96527777777777
2018-07-17,84.41215277777778
2018-07-18,95.83541666666667
2018-07-19,95.93124999999999
2018-07-20,56.096180555555556
2018-07-21,35.434374999999996
2018-07-22,74.66041666666666
2018-07-23,100.68388541666667
2018-07-24,86.83226736111112
2018-07-25,27.256944444444446
2018-07-26,11.577284722222222
2018-07-27,39.50798611111111
2018-07-28,47.34097222222223
2018-07-29,96.7361111111111
2018-07-30,95.29930555555556
2018-07-31,102.8392361111111
2018-08-01,32.19166666666667
2018-08-02,84.32320486111111
2018-08-03,89.20347222222222
2018-08-04,92.71006944444444
2018-08-05,99.95347222222222
2018-08-06,114.4420138888889
2018-08-07,113.19588888888889
2018-08-08,84.12881944444445
2018-08-09,65.38125
2018-08-10,104.06217361111112
2018-08-11,98.82361111111112
2018-08-12,84.19166666666666
2018-08-13,51.71736111111111
2018-08-14,77.60208333333334
2018-08-15,113.63678472222222
2018-08-16,33.765277777777776
2018-08-17,84.76736111111111
2018-08-18,93.85972222222222
2018-08-19,60.390625
2018-08-20,13.293055555555554
2018-08-21,19.596927083333334
2018-08-22,24.296875
2018-08-23,69.49583333333332
2018-08-24,82.6543125
2018-08-25,28.53159722222222
2018-08-26,11.125836805555556
2018-08-27,29.552083333333332
2018-08-28,48.68333333333333
2018-08-29,77.41180555555556
2018-08-30,95.22118055555556
2018-08-31,107.33715277777777
2018-09-01,45.02708333333334
2018-09-02,5.80138888888889
2018-09-03,16.928819444444446
2018-09-04,19.68117361111111
2018-09-05,63.46111111111111
2018-09-06,80.62612847222222
2018-09-07,8.793055555555556
2018-09-08,48.60590277777778
2018-09-09,82.22073263888889
2018-09-10,9.207190972222222
2018-09-11,111.50659722222223
2018-09-12,63.62847222222222
2018-09-13,15.879861111111111
2018-09-14,97.74172569444444
2018-09-15,90.565625
2018-09-16,17.556250000000002
2018-09-17,63.893750000000004
2018-09-18,101.83125
2018-09-19,70.05659722222222
2018-09-20,31.070833333333336
2018-09-21,4.265972222222222
2018-09-22,36.73298611111111
2018-09-23,13.326736111111112
2018-09-24,53.86805555555555
2018-09-25,22.746180555555554
2018-09-26,32.41476736111111
2018-09-27,42.561940972222224
2018-09-28,48.693215277777774
2018-09-29,13.666666666666666
2018-09-30,66.53537152777777
2018-10-01,49.83090277777777
2018-10-02,56.49861111111111
2018-10-03,27.961996527777774
2018-10-04,46.021875
2018-10-05,26.482715277777775
2018-10-06,13.784027777777778
2018-10-07,25.052777777777777
2018-10-08,76.69756944444444
2018-10-09,69.18041666666666
2018-10-10,54.98854166666666
2018-10-11,38.173812500000004
2018-10-12,59.64027777777778
2018-10-13,50.8183125
2018-10-14,79.19965277777779
2018-10-15,88.20876388888888
2018-10-16,89.8482638888889
2018-10-17,89.25138888888888
2018-10-18,10.034374999999999
2018-10-19,82.28715277777778
2018-10-20,61.88887847222222
2018-10-21,13.643045138888889
2018-10-22,70.14548611111111
2018-10-23,48.64862152777778
2018-10-24,46.22604166666667
2018-10-25,41.18298611111111
2018-10-26,14.665729166666667
2018-10-27,5.0098263888888885
2018-10-28,6.978472222222223
2018-10-29,7.685416666666666
2018-10-30,12.01092361111111
2018-10-31,39.922381944444446
2018-11-01,69.88237847222221
2018-11-02,85.79548611111112
2018-11-03,28.197222222222223
2018-11-04,31.033680555555552
2018-11-05,46.46319444444444
2018-11-06,52.69583333333333
2018-11-07,63.70347222222222
2018-11-08,6.482638888888889
2018-11-09,32.640972222222224
2018-11-10,13.527083333333332
2018-11-11,40.23576388888889
2018-11-12,28.14340277777778
2018-11-13,27.068402777777777
2018-11-14,29.934375
2018-11-15,7.869791666666667
2018-11-16,24.981597222222224
2018-11-17,49.888888888888886
2018-11-18,49.98159722222223
2018-11-19,45.08020833333333
2018-11-20,39.45902777777778
2018-11-21,80.93368055555555
2018-11-22,87.9685625
2018-11-23,22.338194444444444
2018-11-24,22.408680555555552
2018-11-25,21.89097222222222
2018-11-26,15.9625
2018-11-27,29.642013888888886
2018-11-28,36.19305555555555
2018-11-29,13.825347222222222
2018-11-30,11.579861111111112
2018-12-01,95.47951388888889
2018-12-02,64.38506944444445
2018-12-03,51.411111111111104
2018-12-04,8.998263888888888
2018-12-05,32.615625
2018-12-06,27.237847222222225
2018-12-07,65.67534722222221
2018-12-08,23.555555555555557
2018-12-09,27.577083333333334
2018-12-10,34.04618055555556
2018-12-11,53.814930555555556
2018-12-12,36.687152777777776
2018-12-13,95.10729166666665
2018-12-14,61.39340277777777
2018-12-15,14.157986111111112
2018-12-16,40.75347222222222
2018-12-17,5.837847222222222
2018-12-18,47.138888888888886
2018-12-19,68.99791666666667
2018-12-20,32.723958333333336
2018-12-21,41.312152777777776
2018-12-22,16.70625
2018-12-23,21.402083333333334
2018-12-24,23.224652777777777
2018-12-25,20.201041666666665
2018-12-26,41.90763888888889
2018-12-27,50.48576388888889
2018-12-28,48.356249999999996
2018-12-29,11.092013888888888
2018-12-30,11.193402777777777
2018-12-31,18.44097222222222
