,SAPHWF1
2018-07-14,10.77046875
2018-07-15,3.2382361111111106
2018-07-16,34.21664583333334
2018-07-17,13.532989583333332
2018-07-18,29.875774305555556
2018-07-19,25.66146875
2018-07-20,125.44018055555556
2018-07-21,36.32855208333333
2018-07-22,46.48402083333334
2018-07-23,27.907756944444444
2018-07-24,24.20970486111111
2018-07-25,15.296850694444444
2018-07-26,7.015559027777777
2018-07-27,68.32817708333333
2018-07-28,7.433562500000001
2018-07-29,87.91814236111111
2018-07-30,43.233413194444445
2018-07-31,12.138524305555556
2018-08-01,14.831906250000001
2018-08-02,67.5025
2018-08-03,104.77124652777779
2018-08-04,24.983114583333332
2018-08-05,26.05099652777778
2018-08-06,100.70115625
2018-08-07,77.40930208333333
2018-08-08,29.71075
2018-08-09,32.13607291666667
