,GULLRWF1
2018-07-07,148.19186458333334
2018-07-08,157.83916666666667
2018-07-09,49.658920138888895
2018-07-10,4.741399305555555
2018-07-11,3.738666666666667
2018-07-12,27.855180555555553
2018-07-13,80.46628472222223
2018-07-14,30.89742013888889
2018-07-15,79.01988541666667
2018-07-16,99.91840624999999
2018-07-17,155.2731215277778
2018-07-18,92.0585625
2018-07-19,126.05421875
2018-07-20,145.42246527777777
2018-07-21,98.48176736111111
2018-07-22,12.088020833333333
2018-07-23,59.55277777777778
2018-07-24,158.00523958333335
2018-07-25,107.69910763888889
2018-07-26,53.04995138888889
2018-07-27,33.07590277777778
2018-07-28,25.53582638888889
2018-07-29,146.4008298611111
2018-07-30,125.67040625
2018-07-31,155.21346180555557
2018-08-01,104.03651388888888
2018-08-02,14.818024305555555
