,WRWF1
2018-07-08,130.4458263888889
2018-07-09,49.68208333333333
2018-07-10,38.764954861111114
2018-07-11,9.389267361111111
2018-07-12,34.93621875
2018-07-13,67.84920138888889
2018-07-14,15.644961805555555
2018-07-15,7.7011666666666665
2018-07-16,69.24040624999999
2018-07-17,44.50618402777778
2018-07-18,63.84245833333333
2018-07-19,48.008774305555555
2018-07-20,149.5566909722222
2018-07-21,52.88070833333333
2018-07-22,22.839295138888886
2018-07-23,34.99873263888889
2018-07-24,42.33109375
2018-07-25,35.55167013888889
2018-07-26,20.58170486111111
2018-07-27,56.505833333333335
2018-07-28,8.09875
2018-07-29,64.16989236111111
2018-07-30,90.55576041666666
2018-07-31,43.59477777777778
2018-08-01,46.713621527777775
2018-08-02,59.81398958333333
2018-08-03,57.62271527777778
