,SNOWNTH1
2018-07-08,21.47951388888889
2018-07-09,10.528125000000001
2018-07-10,9.412760416666666
2018-07-11,24.927083333333332
2018-07-12,13.798958333333333
2018-07-13,1.9881944444444446
2018-07-14,112.60138888888889
2018-07-15,128.01076388888887
2018-07-16,83.71666666666667
2018-07-17,101.36840277777777
2018-07-18,101.82152777777777
2018-07-19,97.00590277777779
2018-07-20,41.27777777777778
2018-07-21,55.194444444444436
2018-07-22,106.70763888888888
2018-07-23,108.53541666666666
2018-07-24,91.14618055555555
2018-07-25,13.120833333333332
2018-07-26,11.459375
2018-07-27,28.946875000000002
2018-07-28,26.185069444444448
2018-07-29,76.81875000000001
2018-07-30,79.90798611111111
2018-07-31,78.71979166666667
2018-08-01,18.690625
2018-08-02,103.16458333333333
2018-08-03,97.44618055555556
