,ARWF1
2018-07-07,171.46701388888889
2018-07-08,184.13819444444445
2018-07-09,79.43715277777778
2018-07-10,5.338888888888889
2018-07-11,29.177083333333332
2018-07-12,12.450000000000001
2018-07-13,4.137152777777778
2018-07-14,50.88298611111111
2018-07-15,83.33715277777777
2018-07-16,96.97708333333333
2018-07-17,147.23125000000002
2018-07-18,113.22743055555556
2018-07-19,90.66631944444445
2018-07-20,42.956250000000004
2018-07-21,18.368750000000002
2018-07-22,127.81458333333335
2018-07-23,206.1205
2018-07-24,115.88125000000001
2018-07-25,12.140277777777778
2018-07-26,8.129513888888889
2018-07-27,38.44826388888889
2018-07-28,37.30277777777778
2018-07-29,114.20208333333333
2018-07-30,97.19652777777777
2018-07-31,105.44201388888888
2018-08-01,8.908333333333333
2018-08-02,159.05173611111113
