,NBHWF1
2018-07-08,79.29375
2018-07-09,7.113194444444445
2018-07-10,17.885996527777777
2018-07-11,26.727777777777778
2018-07-12,17.752083333333335
2018-07-13,3.9246527777777778
2018-07-14,69.20173611111112
2018-07-15,96.55972222222222
2018-07-16,74.48958333333333
2018-07-17,89.434375
2018-07-18,83.37256944444444
2018-07-19,100.25798611111111
2018-07-20,61.4375
2018-07-21,34.38888888888889
2018-07-22,111.63437499999999
2018-07-23,100.97638888888889
2018-07-24,86.94513888888889
2018-07-25,6.471875
2018-07-26,38.215624999999996
2018-07-27,57.260763888888896
2018-07-28,41.19756944444445
2018-07-29,87.02465277777777
2018-07-30,88.84375
2018-07-31,84.88680555555555
2018-08-01,35.05034722222222
2018-08-02,96.35555555555555
2018-08-03,90.94756944444445
