,MERCER01
2018-07-08,106.78970833333334
2018-07-09,23.56239583333333
2018-07-10,12.120878472222222
2018-07-11,63.87788194444445
2018-07-12,1.7665451388888889
2018-07-13,1.495076388888889
2018-07-14,36.564659722222224
2018-07-15,107.51721527777778
2018-07-16,99.24365972222222
2018-07-17,114.63692708333333
2018-07-18,105.19656944444444
2018-07-19,85.47307291666665
2018-07-20,91.39813194444444
2018-07-21,36.10776388888889
2018-07-22,89.07235416666667
2018-07-23,100.24410416666666
2018-07-24,107.61987152777778
2018-07-25,51.06234027777777
2018-07-26,44.069944444444445
2018-07-27,76.65643055555556
2018-07-28,61.44954166666667
2018-07-29,111.68906944444444
2018-07-30,87.95206597222221
2018-07-31,101.35277083333334
2018-08-01,32.119277777777775
2018-08-02,85.02523263888888
2018-08-03,91.49028819444443
