,KIATAWF1
2018-07-07,30.610416666666666
2018-07-08,28.621875
2018-07-09,12.952777777777778
2018-07-10,2.0725694444444445
2018-07-11,10.433333333333334
2018-07-12,2.164236111111111
2018-07-13,1.9475694444444445
2018-07-14,15.185416666666667
2018-07-15,17.565625
2018-07-16,27.267013888888886
2018-07-17,27.817708333333332
2018-07-18,29.65659722222222
2018-07-19,22.026041666666668
2018-07-20,29.047569444444445
2018-07-21,12.254861111111111
2018-07-22,25.50034722222222
2018-07-23,24.582409722222224
2018-07-24,30.169444444444448
2018-07-25,10.834027777777777
2018-07-26,2.470833333333333
2018-07-27,5.614583333333333
2018-07-28,5.8344652777777775
2018-07-29,26.834027777777777
2018-07-30,21.494791666666668
2018-07-31,28.723958333333332
2018-08-01,7.971531250000001
2018-08-02,30.335763888888888
