,SNOWTWN1
2018-07-07,59.36799305555556
2018-07-08,16.16899652777778
2018-07-09,6.978909722222222
2018-07-10,8.856677083333333
2018-07-11,13.503885416666668
2018-07-12,8.78746875
2018-07-13,1.0522743055555555
2018-07-14,85.39963194444444
2018-07-15,90.69101736111111
2018-07-16,63.80456597222223
2018-07-17,72.17578472222222
2018-07-18,74.53745486111112
2018-07-19,67.59669444444445
2018-07-20,30.816204861111114
2018-07-21,47.21112152777778
2018-07-22,80.59599652777779
2018-07-23,74.24034375000001
2018-07-24,68.69848958333334
2018-07-25,10.315652777777778
2018-07-26,10.337493055555557
2018-07-27,24.310760416666668
2018-07-28,21.583131944444446
2018-07-29,63.04804513888889
2018-07-30,63.891979166666665
2018-07-31,68.15234027777778
2018-08-01,13.100850694444444
2018-08-02,69.7921875
