,HALLWF1
2018-05-07,57.812777777777775
2018-05-08,4.7496875
2018-05-09,32.743923611111114
2018-05-10,68.67048611111112
2018-05-11,52.78423611111111
2018-05-12,41.49326388888889
2018-05-13,20.624618055555555
2018-05-14,10.11111111111111
2018-05-15,22.408888888888885
2018-05-16,38.16621527777778
2018-05-17,25.10048611111111
2018-05-18,13.00079861111111
2018-05-19,3.5510763888888888
2018-05-20,7.157291666666667
2018-05-21,56.50190972222222
2018-05-22,29.247118055555557
2018-05-23,5.981875
2018-05-24,39.262256944444445
2018-05-25,62.553402777777784
2018-05-26,69.33347222222223
2018-05-27,60.770381944444445
2018-05-28,74.00125
2018-05-29,75.54864583333334
2018-05-30,42.810833333333335
2018-05-31,15.821736111111113
2018-06-01,33.33927083333334
2018-06-02,7.1954513888888885
2018-06-03,5.214548611111112
2018-06-04,4.933298611111112
2018-06-05,19.127777777777776
2018-06-06,60.963541666666664
2018-06-07,71.87465277777777
2018-06-08,64.76291666666667
2018-06-09,6.076666666666667
2018-06-10,46.34375
2018-06-11,71.23479166666667
2018-06-12,57.673611111111114
2018-06-13,76.81482638888889
2018-06-14,72.44284722222223
2018-06-15,75.1895486111111
2018-06-16,76.98013888888889
2018-06-17,57.61461805555555
2018-06-18,12.909027777777778
2018-06-19,19.40729166666667
2018-06-20,29.58597222222222
2018-06-21,1.1404166666666666
2018-06-22,8.32375
2018-06-23,1.3649652777777777
2018-06-24,6.468715277777778
2018-06-25,12.743611111111113
2018-06-26,13.527222222222221
2018-06-27,-0.048611111111111126
2018-06-28,18.89236111111111
2018-06-29,77.2473263888889
2018-06-30,25.029791666666668
2018-07-01,6.7334375
2018-07-02,34.065625000000004
2018-07-03,79.22006944444445
2018-07-04,75.46729166666667
2018-07-05,71.40458333333333
2018-07-06,68.2178125
2018-07-07,70.80951388888889
2018-07-08,58.79888888888889
2018-07-09,4.2636111111111115
2018-07-10,12.075677083333334
2018-07-11,34.0165625
2018-07-12,22.767916666666668
2018-07-13,2.3507291666666665
2018-07-14,57.68055555555555
2018-07-15,72.29746527777777
2018-07-16,58.920625
2018-07-17,67.8795486111111
2018-07-18,67.86236111111111
2018-07-19,74.90215277777777
2018-07-20,55.334583333333335
2018-07-21,26.671215277777776
2018-07-22,72.52288194444445
2018-07-23,69.21527777777779
2018-07-24,70.44864583333333
2018-07-25,15.356527777777778
2018-07-26,23.724930555555556
2018-07-27,32.06072916666667
2018-07-28,33.22076388888889
2018-07-29,66.19378472222222
2018-07-30,73.8626388888889
2018-07-31,71.198125
2018-08-01,31.29552083333333
2018-08-02,68.30680555555556
2018-08-03,73.65538194444444
2018-08-04,69.64934027777778
2018-08-05,71.78569444444445
2018-08-06,75.22260416666667
2018-08-07,80.02552083333333
2018-08-08,63.945104166666674
2018-08-09,49.49784722222222
2018-08-10,81.62684027777777
2018-08-11,77.79479166666667
2018-08-12,65.92729166666666
2018-08-13,32.89232638888889
2018-08-14,59.68833333333333
2018-08-15,74.29815972222222
2018-08-16,33.65986111111111
2018-08-17,55.180138888888884
2018-08-18,69.64975694444445
2018-08-19,45.44496527777778
2018-08-20,6.906597222222222
2018-08-21,14.350208333333333
2018-08-22,45.447187500000005
2018-08-23,68.92322916666667
2018-08-24,53.69868055555555
2018-08-25,30.823020833333334
2018-08-26,7.969618055555556
2018-08-27,16.88222222222222
2018-08-28,34.83819444444445
2018-08-29,75.54739583333334
2018-08-30,57.5340625
2018-08-31,73.38604166666667
2018-09-01,50.41878472222222
2018-09-02,4.666979166666667
2018-09-03,14.2325
2018-09-04,16.125694444444445
2018-09-05,63.40138888888888
2018-09-06,60.59284722222222
2018-09-07,9.082420138888889
2018-09-08,28.20006944444444
2018-09-09,63.82319444444445
