,MUSSELR1
2018-04-29,10.531597222222222
2018-04-30,114.6892361111111
2018-05-01,85.3875
2018-05-02,11.831597222222221
2018-05-03,67.00277777777778
2018-05-04,133.84548611111111
2018-05-05,163.7798611111111
2018-05-06,159.99895833333332
2018-05-07,134.70902777777778
2018-05-08,118.20034722222222
2018-05-09,111.378125
2018-05-10,12.39826388888889
2018-05-11,115.40729166666667
2018-05-12,48.595486111111114
2018-05-13,16.276041666666668
2018-05-14,39.986805555555556
2018-05-15,52.52361111111111
2018-05-16,67.01145833333334
2018-05-17,153.98229166666667
2018-05-18,49.38263888888889
2018-05-19,95.22395833333333
2018-05-20,162.64652777777778
2018-05-21,143.0715277777778
2018-05-22,154.21319444444444
2018-05-23,124.87222222222222
2018-05-24,51.16770833333334
2018-05-25,13.230208333333335
2018-05-26,2.961111111111111
2018-05-27,0.37881944444444443
2018-05-28,5.157291666666667
2018-05-29,90.80034722222223
2018-05-30,100.67881944444444
2018-05-31,21.87465277777778
2018-06-01,7.204513888888889
2018-06-02,23.641666666666666
2018-06-03,10.338194444444445
2018-06-04,2.426388888888889
2018-06-05,31.67222222222222
2018-06-06,12.987847222222221
2018-06-07,96.61736111111111
2018-06-08,155.83680555555557
2018-06-09,44.699999999999996
2018-06-10,6.345486111111111
2018-06-11,35.49513888888889
2018-06-12,41.753125
2018-06-13,129.59722222222223
2018-06-14,136.16111111111113
2018-06-15,151.60451388888887
2018-06-16,152.53333333333333
2018-06-17,68.32187499999999
2018-06-18,35.273611111111116
2018-06-19,26.114930555555556
2018-06-20,4.984309027777778
2018-06-21,40.07256944444445
2018-06-22,81.78541666666666
2018-06-23,158.42118055555557
2018-06-24,110.51875
2018-06-25,10.749305555555557
2018-06-26,0.7774305555555556
2018-06-27,-0.006597222222222199
2018-06-28,6.729513888888889
2018-06-29,37.492013888888884
2018-06-30,122.61944444444445
2018-07-01,73.24791666666667
2018-07-02,28.769791666666666
2018-07-03,95.25277777777778
2018-07-04,52.40520833333333
2018-07-05,97.29409722222222
2018-07-06,159.41111111111113
2018-07-07,141.33541666666667
