,MACARTH1
2018-06-09,8.292743055555556
2018-06-10,22.373194444444447
2018-06-11,275.67319444444445
2018-06-12,283.83159722222223
2018-06-13,220.06479166666668
2018-06-14,359.09652777777774
2018-06-15,316.1977777777778
2018-06-16,154.61013888888888
2018-06-17,285.59784722222224
2018-06-18,36.07375
2018-06-19,30.86
2018-06-20,137.34819444444443
2018-06-21,33.955729166666664
2018-06-22,54.451319444444444
2018-06-23,69.22868055555556
2018-06-24,1.479826388888889
2018-06-25,1.757291666666667
2018-06-26,2.2071180555555556
2018-06-27,8.017256944444444
2018-06-28,12.4471875
2018-06-29,262.4234375
2018-06-30,111.24090277777778
2018-07-01,57.9190625
2018-07-02,167.08583333333334
2018-07-03,396.99413194444446
2018-07-04,351.6011805555556
2018-07-05,345.9897673611111
2018-07-06,332.9917013888889
2018-07-07,342.11427083333336
2018-07-08,247.0822916666667
2018-07-09,41.115833333333335
2018-07-10,60.30857291666666
2018-07-11,97.08104166666668
2018-07-12,6.635243055555556
2018-07-13,13.1946875
2018-07-14,186.37256944444445
2018-07-15,197.0417013888889
2018-07-16,324.0029861111111
2018-07-17,379.92767361111106
2018-07-18,352.4718055555556
2018-07-19,250.2553472222222
2018-07-20,198.26703125000003
2018-07-21,120.91975694444444
2018-07-22,296.83447916666665
2018-07-23,398.5501736111111
2018-07-24,372.4610069444445
2018-07-25,111.30135416666667
2018-07-26,64.48576041666666
2018-07-27,79.3235763888889
2018-07-28,31.441354166666667
2018-07-29,298.4259375
2018-07-30,268.3698611111111
2018-07-31,340.99899305555556
2018-08-01,57.6468125
2018-08-02,303.1221875
2018-08-03,244.6013888888889
2018-08-04,326.20885416666664
2018-08-05,358.1452777777777
2018-08-06,290.13180555555556
2018-08-07,321.1065277777778
2018-08-08,243.50180555555553
2018-08-09,268.6644791666667
2018-08-10,253.9709375
2018-08-11,96.03875000000001
2018-08-12,185.3990972222222
2018-08-13,195.0646875
2018-08-14,308.5488194444444
2018-08-15,254.5294652777778
2018-08-16,106.83315972222222
2018-08-17,292.7903680555556
2018-08-18,272.80635416666667
2018-08-19,217.70121527777778
2018-08-20,167.05527777777777
2018-08-21,46.131527777777784
2018-08-22,22.716979166666665
2018-08-23,25.129461805555554
2018-08-24,6.184826388888889
2018-08-25,1.7422881944444446
2018-08-26,76.35506944444444
2018-08-27,28.91881944444445
2018-08-28,9.832465277777777
2018-08-29,103.64930555555556
2018-08-30,262.47770833333334
2018-08-31,179.12868055555555
2018-09-01,91.01892361111112
2018-09-02,24.116319444444443
2018-09-03,21.712708333333335
2018-09-04,61.65569444444444
2018-09-05,202.8467361111111
2018-09-06,278.16541666666666
2018-09-07,32.49059027777778
2018-09-08,182.93166666666664
2018-09-09,183.82475694444443
2018-09-10,49.82138888888889
2018-09-11,343.1803472222222
2018-09-12,217.37631944444445
2018-09-13,181.95072916666666
2018-09-14,333.7654513888889
2018-09-15,296.5835069444444
2018-09-16,81.10628472222221
2018-09-17,221.13336805555556
2018-09-18,225.15375000000003
2018-09-19,55.12513888888889
2018-09-20,62.38121527777778
2018-09-21,54.816319444444446
2018-09-22,42.90215277777778
2018-09-23,77.24555555555555
2018-09-24,60.30788194444444
2018-09-25,54.19670138888889
2018-09-26,61.79465277777778
2018-09-27,135.4802777777778
2018-09-28,105.98347222222223
2018-09-29,45.21031249999999
2018-09-30,24.384444444444444
2018-10-01,89.52111111111111
2018-10-02,152.47465277777778
2018-10-03,106.25822916666665
2018-10-04,136.5410763888889
2018-10-05,77.23364583333334
2018-10-06,37.60125
2018-10-07,75.16798611111112
2018-10-08,51.18277777777777
2018-10-09,163.25444444444443
2018-10-10,249.28111111111113
2018-10-11,133.57121527777778
2018-10-12,87.18253472222221
2018-10-13,132.60142361111113
2018-10-14,239.69538194444445
2018-10-15,284.66215277777775
2018-10-16,200.22076388888888
2018-10-17,60.94677083333334
2018-10-18,96.008125
2018-10-19,217.29225694444446
2018-10-20,109.33187500000001
2018-10-21,19.506770833333334
2018-10-22,224.0062847222222
2018-10-23,83.60225694444445
2018-10-24,37.851215277777776
2018-10-25,67.8170138888889
2018-10-26,32.77506944444445
2018-10-27,111.2109375
2018-10-28,48.218402777777776
2018-10-29,35.723819444444445
2018-10-30,12.675555555555555
2018-10-31,20.92020833333333
2018-11-01,193.45569444444445
2018-11-02,327.136875
2018-11-03,112.04743055555555
2018-11-04,51.98753472222222
2018-11-05,164.0534375
2018-11-06,106.23052083333334
2018-11-07,134.85055555555556
2018-11-08,50.64163194444444
2018-11-09,67.5982638888889
2018-11-10,17.579409722222223
2018-11-11,30.064965277777777
2018-11-12,90.98350694444444
