,OAKLAND1
2018-07-08,49.84340277777778
2018-07-09,11.958333333333334
2018-07-10,5.227635416666667
2018-07-11,12.682590277777777
2018-07-12,0.6684027777777778
2018-07-13,2.0500000000000003
2018-07-14,22.180822916666667
2018-07-15,27.215156250000003
2018-07-16,40.06805555555555
2018-07-17,49.578434027777774
2018-07-18,47.28923611111111
2018-07-19,35.92395833333334
2018-07-20,42.739583333333336
2018-07-21,16.361197916666665
2018-07-22,41.68055555555556
2018-07-23,52.77585069444444
2018-07-24,47.78229166666667
2018-07-25,23.14861111111111
2018-07-26,4.8
2018-07-27,7.86870138888889
2018-07-28,8.333402777777778
2018-07-29,28.1875
2018-07-30,25.434027777777775
2018-07-31,28.177430555555556
2018-08-01,10.101239583333333
2018-08-02,36.90034722222222
2018-08-03,30.639236111111114
